,Model,Window,Step,params,Accuracy,Recall,Precision,F1-score,ROC_AUC
4,LogisticRegression,10,50,"{'C': 100, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8535762483130904,0.8625730994152047,0.5436507936507936,0.6644250086433251,0.9147290075267914
1,LogisticRegression,10,20,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8393056219143175,0.9033816425120773,0.5176357577677174,0.656432967347523,0.8999899753680473
2,LogisticRegression,10,20,"{'C': 1, 'l1_ratio': 0.0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8393056219143175,0.9033816425120773,0.5176357577677174,0.656432967347523,0.8999899753680473
0,LogisticRegression,10,20,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8393056219143175,0.9033816425120773,0.5176357577677174,0.656432967347523,0.9000305512592847
3,LogisticRegression,10,20,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8376731963688485,0.9033816425120773,0.5148649460403633,0.6541849855391523,0.8995937637241985
4,LogisticRegression,10,20,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",0.838270425226947,0.8876811594202899,0.5157582110412299,0.6507516250077446,0.8998372190716236
1,RandomForest,40,80,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
0,RandomForest,40,80,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
3,RandomForest,40,80,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
2,RandomForest,40,80,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
4,RandomForest,40,80,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
1,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7739898989898991
4,KNN,30,80,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7689569304152637
2,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7689569304152637
3,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7739898989898991
0,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7689569304152637
